long_name,original_FIP
"IN, Fayette County",G1800410
"IN, Floyd County",G1800430
"IN, Fountain County",G1800450
"IN, Franklin County",G1800470
"IN, Fulton County",G1800490
"IN, Gibson County",G1800510
"IN, Grant County",G1800530
"IN, Greene County",G1800550
"IN, Hamilton County",G1800570
"IN, Hancock County",G1800590
"IN, Harrison County",G1800610
"IN, Hendricks County",G1800630
"IN, Henry County",G1800650
"IN, Howard County",G1800670
"IN, Huntington County",G1800690
"IN, Jackson County",G1800710
"IN, Jasper County",G1800730
"IN, Jay County",G1800750
"IN, Jefferson County",G1800770
"IN, Jennings County",G1800790
"IN, Johnson County",G1800810
"IN, Knox County",G1800830
"IN, Kosciusko County",G1800850
"IN, LaGrange County",G1800870
"IN, Lake County",G1800890
"IN, LaPorte County",G1800910
"IN, Lawrence County",G1800930
"IN, Madison County",G1800950
"IN, Marion County",G1800970
"IN, Marshall County",G1800990
"IN, Martin County",G1801010
"IN, Miami County",G1801030
"IN, Monroe County",G1801050
"IN, Montgomery County",G1801070
"IN, Morgan County",G1801090
"IN, Newton County",G1801110
"IN, Noble County",G1801130
"IN, Ohio County",G1801150
"IN, Orange County",G1801170
"IN, Owen County",G1801190
"IN, Parke County",G1801210
"IN, Perry County",G1801230
"IN, Pike County",G1801250
"IN, Porter County",G1801270
"IN, Posey County",G1801290
"IN, Pulaski County",G1801310
"IN, Putnam County",G1801330
"IN, Randolph County",G1801350
"IN, Ripley County",G1801370
"IN, Rush County",G1801390
"IN, St. Joseph County",G1801410
"IN, Scott County",G1801430
"IN, Shelby County",G1801450
"IN, Spencer County",G1801470
"IN, Starke County",G1801490
"IN, Steuben County",G1801510
"IN, Sullivan County",G1801530
"IN, Switzerland County",G1801550
"IN, Tippecanoe County",G1801570
"IN, Tipton County",G1801590
"IN, Union County",G1801610
"IN, Vanderburgh County",G1801630
"IN, Vermillion County",G1801650
"IN, Vigo County",G1801670
"IN, Wabash County",G1801690
"IN, Warren County",G1801710
"IN, Warrick County",G1801730
"IN, Washington County",G1801750
"IN, Wayne County",G1801770
"IN, Wells County",G1801790
"IN, White County",G1801810
"IN, Whitley County",G1801830
"IA, Adair County",G1900010
"IA, Adams County",G1900030
"IA, Allamakee County",G1900050
"IA, Appanoose County",G1900070
